Curvas de variación estacional RIO CLARO EN HACIENDA LAS NIEVES R.N.,,,,,,,
Probabilidad de excedencia,0.05,0.1,0.2,0.5,0.85,0.95,Distribución
Abril,6.131020366,5.146402191,4.101550723,2.52627801,1.264279693,0.811309424,gamma
Mayo,18.06838212,14.43345704,10.71128462,5.514011805,2.040972339,1.102796859,pearson3
Junio,42.19935341,30.03508733,19.92642338,9.156704692,3.612634205,2.152393925,gamma
Julio,31.78864205,24.23708844,16.89550022,7.837898312,3.520715438,2.900697012,pearson3
Agosto,25.20142446,18.98586234,13.56005991,7.330537513,3.739572484,2.685653274,gamma
Septiembre,15.50192832,13.77391587,11.86017275,8.721977006,5.73412705,4.387840234,lognorm
Octubre,15.44806617,14.29273944,12.8937293,10.21731314,6.921380298,4.986560112,pearson3
Noviembre,15.21393976,13.59842656,11.85207333,9.118912354,6.746889457,5.795812617,lognorm
Diciembre,16.79305573,14.90247471,12.77335211,9.172434204,5.542258317,3.794823297,gamma
Enero,15.55064746,13.22291711,10.71306085,6.804751986,3.448285534,2.12120495,norm
Febrero,9.426340612,7.970965932,6.412825823,4.02083046,2.027565734,1.271184573,pearson3
Marzo,5.547634454,4.747018503,3.879245403,2.513945322,1.316110366,0.828907708,gamma
