,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,561.0,750.0,561.0,749.0,675.934483463601,9971000.976804953,4485231.875920526
1,750.0,1000.0,750.0,999.0,893.0487861811391,33522612.820849087,25337137.677342147
2,1000.0,1250.0,1000.0,1249.0,1129.6003149468766,57290864.11340172,71654457.22948645
3,1250.0,1500.0,1250.0,1499.0,1382.142664565757,78970561.19657542,138789576.80604208
4,1500.0,1750.0,1500.0,1749.0,1630.0136348971594,97896711.45394722,227502918.08494496
5,1750.0,2000.0,1750.0,1999.0,1873.9503108576264,113745203.9320082,334420033.78744304
6,2000.0,2250.0,2000.0,2249.0,2127.1903511346413,123014196.5321852,452267941.94969416
7,2250.0,2500.0,2250.0,2499.0,2377.784070121072,149092523.07205743,587351978.1468834
8,2500.0,2750.0,2500.0,2749.0,2623.0756988133226,155009282.58208004,740941420.6319357
9,2750.0,3000.0,2750.0,2999.0,2875.360431456583,153783919.13318586,894206945.687224
10,3000.0,3250.0,3000.0,3249.0,3123.6692695439365,143263978.40645003,1043983544.1339653
11,3250.0,3500.0,3250.0,3499.0,3369.7381888284917,128882422.28591631,1181155979.481168
12,3500.0,3750.0,3500.0,3749.0,3613.997204716771,86885484.29036179,1289341420.818552
13,3750.0,4000.0,3750.0,3999.0,3863.765978802112,51943624.06709246,1358298170.6016507
14,4000.0,4250.0,4000.0,4249.0,4111.536005225248,34418086.53223052,1401641630.5653286
15,4250.0,4500.0,4250.0,4499.0,4357.16072677808,16052881.164379241,1426236391.229856
16,4500.0,4750.0,4500.0,4749.0,4592.277171943465,4731279.6830731705,1436330420.8693445
17,4750.0,4974.0,4750.0,4974.0,4824.548109965635,1085836.5073940067,1438757766.6506758
