Curvas de variación estacional RIO COLORADO EN JUNTA CON PALOS R.N.,,,,,,,
Probabilidad de excedencia,0.05,0.1,0.2,0.5,0.85,0.95,Distribución
Abril,37.30246806,31.126721,24.95097394,16.78708039,12.05933143,11.06834221,gamma
Mayo,65.97889051,52.05237554,38.38897928,21.14301816,12.3633364,10.92509947,lognorm
Junio,81.1565254,64.52394222,48.04923055,26.64255528,14.63933351,12.22812822,gamma
Julio,77.46548381,60.77339577,45.97924192,28.59527775,18.21787406,15.06941636,expon
Agosto,69.59318902,57.73250936,45.65774287,29.01835359,18.26492786,15.52137388,gamma
Septiembre,52.83856917,47.90519,42.47432308,33.66931529,25.46730963,21.86799985,weibull_min
Octubre,72.58574892,67.02649822,60.72783673,49.95824842,38.88781507,33.44321386,lognorm
Noviembre,111.1845615,103.449246,94.20967872,76.91951944,56.31655776,44.57247883,pearson3
Diciembre,160.9870069,137.6527471,112.5756576,73.78248377,40.9249291,28.17449983,gamma
Enero,122.2494598,99.24796028,75.65676803,42.59848422,20.30879278,14.19628445,gamma
Febrero,67.82932277,50.70654845,36.88316074,22.78593302,15.99509091,14.31752641,gamma
Marzo,35.3514562,30.31124283,25.09175662,17.62026873,12.31175421,10.72525702,gamma
